NoActeur;Nom;Sexe
1;Marlon Brando;H
2;Robert Duvall;H
3;Martin Sheen;H
4;Guy Jodoin;H
5;Sylvie Moreau;F
6;Stéphane Crête;H
7;Georges Clooney;H
8;Brad Pitt;H
9;Matt Damon;H
10;Steven Strait;H
11;Nathanael Baring;H
12;Tim Barlow;H
13;Michel Côté;H
14;Marc-André Grodin;H
15;Danielle Proulx;F
16;Glenn Close;F
17;Gérard Depardieu;H
18;Alice Evans;F
19;Isabelle Blais;F
20;Ricardo Trogi;H
21;Louis-José Houde;H
22;Patrick Huard;H
23;Christopher Heyerdahl;H
24;Julie Lebreton;F
25;Anne Dorval;F
26;Xavier Dolan;H
27;Al Pacino;H
28;Diane Keaton;F
29;Henry Fonda;H
30;Adrien Brody;H
31;Keira Knightley;F
32;Kris Kristofferson;H
33;Tim Robbins;H
34;Morgan Freeman;H
35;Bob Gunton;H
36;Drew Barrymore;F
37;Anjelica Huston;F
38;Drougray Scott;H
39;Liam Neeson;H
40;Bradley Cooper;H
