NoCategorie;Description
1;Action
2;Adolescent
3;Biographie
4;Cape et d'épée
5;Catastrophe
6;Chronique
7;Comédie de moeurs
8;Comédie d'horreur
9;Comédie dramatique
10;Comédie fantaisiste
11;Comédie musicale
12;Comédie policière
13;Comédie satirique
14;Comédie sentimentale
15;Comédie
16;Criminel
17;Danse
18;Dessins animés
19;Documentaire
20;Drame de guerre
21;Drame de moeurs
22;Drame d'horreur
23;Drame judiciaire
24;Drame musical
25;Drame poétique
26;Drame policier
27;Drame psychologique
28;Drame sentimental
29;Drame social
30;Drame
31;Espionnage
32;Expérimental
33;Fantastique
34;Film à sketches
35;Film d'animation
36;Film d'art martial
37;Historique
38;Horreur
39;Humoristique
40;Marionnettes
41;Mélodrame
42;Musical
43;Road movie
44;Romantique
45;Science-fiction
46;Série policière
47;Série TV
48;Spectacle d'humour
49;Spectacle musical
50;Suspense
51;Western
